#UserId	ScreenName	UserName	UserCreateTime	#Followers
37493762	nouraayoubi	Noura Ayoubi	Sun May 03 20:26:57 2009	689
1423544065	Marksky02	Marksky	Sun May 12 16:37:15 2013	2
1423508994	popoikiki	popo sangzuali	Sun May 12 16:36:39 2013	1
1423534094	nikhildalal9	nikhil dalal	Sun May 12 16:37:48 2013	0
21447363	katyperry	Katy Perry	Fri Feb 20 23:45:56 2009	36409618
1261217880	myheartfeeling3	myheartfeelings.com	Tue Mar 12 05:55:37 2013	15
1362404370	kimaria4	kimaria	Thu Apr 18 17:02:58 2013	3
1416000019	jeannotlapin186	Camille Achard	Thu May 09 17:00:12 2013	1
1423437846	moussabounakant	moussa bouna kante	Sun May 12 15:59:55 2013	2
268387353	Kris_MonaMi	Kristina	Fri Mar 18 17:27:53 2011	1
1423504411	SerenaVaJ	SerenaVA07	Sun May 12 16:16:17 2013	7
1423509030	Lucie00666	Lucie Muller	Sun May 12 16:36:48 2013	3
331187244	OfficialVJScott	King Scott Baby!	Thu Jul 07 19:44:36 2011	1045
1330248750	Crmenmolinabg25	carmen maria molina	Fri Apr 05 23:21:47 2013	53
494305332	shahad_195	 shahad..	Thu Feb 16 19:12:29 2012	208
1423506486	ezequielcottz	ezequiel cottz	Sun May 12 16:35:17 2013	2
94160441	BiancaSSF	Bianca Ferreira	Wed Dec 02 19:44:30 2009	85
1423484474	AHLalaina	Hary Lalaina	Sun May 12 16:12:08 2013	1
622837831	zozo5506	Zoe Mapp	Sat Jun 30 13:52:17 2012	3
1423508552	selenag96399239	selena gomez	Sun May 12 16:24:29 2013	5
183589459	CaitlinDyer_	Cat	Fri Aug 27 11:24:38 2010	95
1001290838	sarahnicolegon	sarah nicole gonzale	Mon Dec 10 09:15:22 2012	2
1326787160	rivas_navarro	jorge rivas navarro	Thu Apr 04 11:56:55 2013	20
1415567119	gabrielletickle	Gabriel fuseini	Thu May 09 13:30:18 2013	3
1423512156	jessicakriz1	Jessica Kriz	Sun May 12 16:38:11 2013	0
1423536733	marcocamardo	marco camardo	Sun May 12 16:33:09 2013	1
997207142	NganHoang_1412	NganHoang	Sat Dec 08 13:52:04 2012	1421
259380839	xdark_lordx	Ali Dawood Iraqi	Tue Mar 01 20:11:32 2011	1
1147282536	AyomidejAyomide	Ayomide	Mon Feb 04 07:20:48 2013	1
1423505016	midoahm20068420	midoahmed	Sun May 12 16:34:44 2013	0
26565946	jtimberlake	Justin Timberlake 	Wed Mar 25 19:10:50 2009	20148695
1423542397	mehmetu00561549	mehmet ucar	Sun May 12 16:36:13 2013	0
1423510656	eastham_jack	jack eastham	Sun May 12 16:37:17 2013	8
1423497859	abdelfattahjama	abd elfattah jamal	Sun May 12 16:13:00 2013	2
1423502982	armin261senator	arminali	Sun May 12 16:33:11 2013	0
16409683	britneyspears	Britney Spears	Mon Sep 22 20:47:35 2008	26809526
1423545487	_stephanyy123	stephany	Sun May 12 16:37:38 2013	1
1423496340	gianna820	Gianna	Sun May 12 16:29:35 2013	2
76399262	kayleighshinni	kayleigh shinnick	Tue Sep 22 17:54:10 2009	78
395859640	sariegeldenhuys	Sarie Geldenhuys	Sat Oct 22 11:08:53 2011	3
1423537339	ManonChanel18	Manon Chanel	Sun May 12 16:33:34 2013	0
451081916	GuessCaroline	Gabriele Caroline	Sat Dec 31 01:08:01 2011	4
308171459	ParkerWestMusic	Parker West	Mon May 30 23:23:39 2011	961
1421347016	candehirsfeld	cosas de directioner	Sat May 11 18:50:15 2013	12
237350092	SanderGesse	Sander Gesse	Wed Jan 12 17:00:35 2011	7
322881230	sheamon11	shauna molloy	Thu Jun 23 22:11:28 2011	5
1423518416	JapanStyleuh	Camille Girault	Sun May 12 16:29:23 2013	4
813286	BarackObama	Barack Obama	Mon Mar 05 22:08:25 2007	31373990
228773075	Harves04	Amy Harvey	Mon Dec 20 16:52:32 2010	36
34802902	TR3NDYW3NDY	Wendy	Fri Apr 24 01:37:34 2009	5333
1423493336	OOKE_RAIT	OOKE_RAIT	Sun May 12 16:16:41 2013	0
282678489	WamJamm	Jammi Manlulo	Fri Apr 15 17:47:46 2011	556
1423492314	tanya35scott	Tanyacott	Sun May 12 16:27:36 2013	0
876219619	666urmum	sheilan	Fri Oct 12 18:59:50 2012	1143
10228272	YouTube	YouTube	Tue Nov 13 21:43:46 2007	27689705
1423480554	Divyajain_26	Divya Jain	Sun May 12 16:21:21 2013	1
1423546603	Acet1245	feyzullah acet	Sun May 12 16:38:00 2013	1
1423536877	14_adnarim	dalia	Sun May 12 16:33:28 2013	4
89341681	alexisannna	alexisssss	Thu Nov 12 01:43:05 2009	300
1423239932	JYoungLyuvale	J-Young Lyuvale	Sun May 12 14:13:14 2013	13
251292415	dbfh	Tania	Sat Feb 12 20:58:37 2011	13
228073216	Mugsys13	Margo 	Sat Dec 18 16:51:13 2010	39
174246657	crasher475	simon cushing	Tue Aug 03 13:22:25 2010	1
1421575434	mohamedjassim11	mohamed jassim	Sat May 11 21:08:57 2013	10
1423506702	SILLYLILLY666	Lillian Rhymer	Sun May 12 16:35:10 2013	0
1308058585	sariana_almonte	Sariana Almonte	Wed Mar 27 17:11:55 2013	21
1160312089	ZafixUzer	zafix uzer	Fri Feb 08 14:24:25 2013	12
1423483676	_hayatcinarim44	gamze	Sun May 12 16:11:36 2013	2
284473126	JoseBogue	Jose Muriana	Tue Apr 19 10:30:14 2011	181
